Valores duplicados encontrados:
Valor: , Total: 1561
Valor: a:0:{}, Total: 6
Valor: a:1:{i:0;i:16;}, Total: 36903
Valor: a:1:{i:0;i:27;}, Total: 33818
Valor: a:1:{i:0;i:29;}, Total: 2
Valor: a:1:{i:0;i:34;}, Total: 29862
Valor: a:1:{i:0;s:2:"16";}, Total: 6743
Valor: a:1:{i:0;s:2:"27";}, Total: 4749
Valor: a:1:{i:0;s:2:"34";}, Total: 2462
Valor: a:1:{i:0;s:2:"40";}, Total: 55
Valor: a:1:{i:0;s:2:"44";}, Total: 1317
Valor: a:1:{i:0;s:3:"484";}, Total: 477
Valor: a:10:{i:0;i:16;i:1;i:18;i:2;i:20;i:3;i:21;i:4;i:16;i:5;i:18;i:6;i:20;i:7;i:21;i:8;i:484;i:9;i:488;}, Total: 2
Valor: a:11:{i:0;i:16;i:1;i:18;i:2;i:21;i:3;i:27;i:4;i:16;i:5;i:29;i:6;i:31;i:7;i:484;i:8;i:486;i:9;i:487;i:10;i:485;}, Total: 2
Valor: a:13:{i:0;i:16;i:1;i:17;i:2;i:18;i:3;i:20;i:4;i:21;i:5;i:27;i:6;i:16;i:7;i:29;i:8;i:30;i:9;i:31;i:10;i:32;i:11;i:484;i:12;i:486;}, Total: 2
Valor: a:2:{i:0;i:16;i:1;i:1579;}, Total: 546
Valor: a:2:{i:0;i:16;i:1;i:16;}, Total: 471
Valor: a:2:{i:0;i:16;i:1;i:17;}, Total: 14836
Valor: a:2:{i:0;i:16;i:1;i:18;}, Total: 7929
Valor: a:2:{i:0;i:16;i:1;i:20;}, Total: 14371
Valor: a:2:{i:0;i:16;i:1;i:21;}, Total: 1217
Valor: a:2:{i:0;i:16;i:1;i:22;}, Total: 21
Valor: a:2:{i:0;i:16;i:1;i:23;}, Total: 48
Valor: a:2:{i:0;i:16;i:1;i:24;}, Total: 41
Valor: a:2:{i:0;i:16;i:1;i:25;}, Total: 16
Valor: a:2:{i:0;i:16;i:1;i:27;}, Total: 459
Valor: a:2:{i:0;i:16;i:1;i:34;}, Total: 532
Valor: a:2:{i:0;i:16;i:2;i:27;}, Total: 2
Valor: a:2:{i:0;i:27;i:1;i:16;}, Total: 763
Valor: a:2:{i:0;i:27;i:1;i:27;}, Total: 101
Valor: a:2:{i:0;i:27;i:1;i:28;}, Total: 40
Valor: a:2:{i:0;i:27;i:1;i:29;}, Total: 1214
Valor: a:2:{i:0;i:27;i:1;i:30;}, Total: 555
Valor: a:2:{i:0;i:27;i:1;i:31;}, Total: 2535
Valor: a:2:{i:0;i:27;i:1;i:32;}, Total: 23
Valor: a:2:{i:0;i:27;i:1;i:33;}, Total: 9
Valor: a:2:{i:0;i:27;i:1;i:34;}, Total: 30
Valor: a:2:{i:0;i:27;i:1;i:40;}, Total: 44
Valor: a:2:{i:0;i:29;i:1;i:30;}, Total: 2
Valor: a:2:{i:0;i:34;i:1;i:16;}, Total: 316
Valor: a:2:{i:0;i:34;i:1;i:27;}, Total: 9
Valor: a:2:{i:0;i:34;i:1;i:34;}, Total: 276
Valor: a:2:{i:0;i:34;i:1;i:35;}, Total: 7
Valor: a:2:{i:0;i:34;i:1;i:36;}, Total: 8
Valor: a:2:{i:0;i:34;i:1;i:37;}, Total: 2
Valor: a:2:{i:0;i:34;i:1;i:39;}, Total: 10
Valor: a:2:{i:0;i:34;i:1;i:40;}, Total: 5
Valor: a:2:{i:0;i:44;i:1;i:46;}, Total: 12379
Valor: a:2:{i:0;i:484;i:1;i:485;}, Total: 31
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"17";}, Total: 18
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"18";}, Total: 4
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"20";}, Total: 96
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"21";}, Total: 10
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"24";}, Total: 3
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"27";}, Total: 264
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"34";}, Total: 82
Valor: a:2:{i:0;s:2:"16";i:1;s:2:"40";}, Total: 24
Valor: a:2:{i:0;s:2:"16";i:1;s:3:"484";}, Total: 1860
Valor: a:2:{i:0;s:2:"27";i:1;s:2:"16";}, Total: 127
Valor: a:2:{i:0;s:2:"27";i:1;s:2:"29";}, Total: 2
Valor: a:2:{i:0;s:2:"27";i:1;s:2:"30";}, Total: 6
Valor: a:2:{i:0;s:2:"27";i:1;s:2:"31";}, Total: 34
Valor: a:2:{i:0;s:2:"27";i:1;s:2:"40";}, Total: 90
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"16";}, Total: 178
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"27";}, Total: 3
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"34";}, Total: 3
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"35";}, Total: 10
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"36";}, Total: 13
Valor: a:2:{i:0;s:2:"34";i:1;s:2:"37";}, Total: 2
Valor: a:2:{i:0;s:2:"40";i:1;s:2:"16";}, Total: 3
Valor: a:2:{i:0;s:2:"40";i:1;s:2:"27";}, Total: 4
Valor: a:2:{i:0;s:2:"40";i:1;s:2:"34";}, Total: 2
Valor: a:2:{i:0;s:2:"44";i:1;s:2:"46";}, Total: 96
Valor: a:2:{i:0;s:2:"44";i:1;s:3:"484";}, Total: 160
Valor: a:2:{i:0;s:2:"47";i:1;s:2:"16";}, Total: 2
Valor: a:2:{i:0;s:3:"484";i:1;s:2:"16";}, Total: 123
Valor: a:2:{i:0;s:3:"484";i:1;s:2:"44";}, Total: 2
Valor: a:2:{i:0;s:3:"484";i:1;s:3:"485";}, Total: 2
Valor: a:2:{i:0;s:3:"484";i:1;s:3:"486";}, Total: 5
Valor: a:3:{i:0;i:16;i:1;i:1579;i:2;i:21;}, Total: 17
Valor: a:3:{i:0;i:16;i:1;i:1579;i:2;i:27;}, Total: 8
Valor: a:3:{i:0;i:16;i:1;i:16;i:2;i:25;}, Total: 36
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:1579;}, Total: 281
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:16;}, Total: 197
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:18;}, Total: 1168
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:20;}, Total: 3934
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:21;}, Total: 85
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:22;}, Total: 13
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:23;}, Total: 4
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:27;}, Total: 68
Valor: a:3:{i:0;i:16;i:1;i:17;i:2;i:34;}, Total: 68
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:1579;}, Total: 280
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:16;}, Total: 197
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:20;}, Total: 2319
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:21;}, Total: 526
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:22;}, Total: 8
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:27;}, Total: 305
Valor: a:3:{i:0;i:16;i:1;i:18;i:2;i:34;}, Total: 177
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:1579;}, Total: 428
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:16;}, Total: 294
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:20;}, Total: 6
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:21;}, Total: 1218
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:22;}, Total: 24
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:23;}, Total: 90
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:24;}, Total: 106
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:27;}, Total: 192
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:34;}, Total: 196
Valor: a:3:{i:0;i:16;i:1;i:20;i:2;i:40;}, Total: 8
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:16;}, Total: 40
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:22;}, Total: 19
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:23;}, Total: 3
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:24;}, Total: 2
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:27;}, Total: 50
Valor: a:3:{i:0;i:16;i:1;i:21;i:2;i:34;}, Total: 284
Valor: a:3:{i:0;i:16;i:1;i:22;i:2;i:27;}, Total: 11
Valor: a:3:{i:0;i:16;i:1;i:22;i:2;i:34;}, Total: 2
Valor: a:3:{i:0;i:16;i:1;i:23;i:2;i:27;}, Total: 3
Valor: a:3:{i:0;i:16;i:1;i:23;i:2;i:34;}, Total: 4
Valor: a:3:{i:0;i:16;i:1;i:24;i:2;i:27;}, Total: 3
Valor: a:3:{i:0;i:16;i:1;i:24;i:2;i:34;}, Total: 2
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:16;}, Total: 24
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:27;}, Total: 2
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:29;}, Total: 30
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:30;}, Total: 16
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:31;}, Total: 162
Valor: a:3:{i:0;i:16;i:1;i:27;i:2;i:34;}, Total: 36
Valor: a:3:{i:0;i:16;i:1;i:34;i:2;i:16;}, Total: 14
Valor: a:3:{i:0;i:16;i:1;i:34;i:2;i:34;}, Total: 10
Valor: a:3:{i:0;i:16;i:1;i:484;i:2;i:485;}, Total: 1224
Valor: a:3:{i:0;i:16;i:1;i:484;i:2;i:486;}, Total: 842
Valor: a:3:{i:0;i:16;i:1;i:484;i:2;i:487;}, Total: 536
Valor: a:3:{i:0;i:16;i:1;i:484;i:2;i:488;}, Total: 431
